SessionID,WindowEnd,WindowNumber,WindowStart
Toto7,1540817967968,6,1540817957968
Toto7,1540817977968,7,1540817967968
Toto7,1540817987968,8,1540817977968
Toto7,1540817997968,9,1540817987968
Toto7,1540818007968,10,1540817997968
Toto7,1540818017968,11,1540818007968
Toto7,1540818027968,12,1540818017968
Toto7,1540818037968,13,1540818027968
Toto7,1540818047968,14,1540818037968
Toto7,1540818057968,15,1540818047968
Toto7,1540818067968,16,1540818057968
Toto7,1540818077968,17,1540818067968
Toto7,1540818087968,18,1540818077968
Toto7,1540818097968,19,1540818087968
Toto7,1540818107968,20,1540818097968
Toto7,1540818117968,21,1540818107968
